Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
49582;-11.34;4.16;-11.61
49602;-11.3;4.67;-11.49
49622;-11.3;5.37;-12.36
49642;-10.28;5.37;-12.32
49662;-9.02;5.65;-12.32
49682;-8.24;5.73;-12.04
49702;-8.08;6.2;-11.92
49722;-7.45;6.08;-11.77
49742;-6.51;5.37;-10.94
49762;-6.0;4.98;-10.28
49782;-6.0;4.9;-9.57
49802;-5.22;4.79;-9.45
49822;-4.04;5.14;-9.1
49842;-3.26;5.1;-8.75
49862;-2.39;5.45;-8.39
49882;-2.35;5.73;-8.87
49902;-2.94;5.84;-9.14
49922;-3.02;6.55;-9.1
49942;-1.77;8.0;-8.55
49962;-1.14;10.9;-9.14
49982;-1.92;13.49;-11.69
50002;-2.16;14.0;-14.87
50022;-1.22;17.26;-16.99
50042;-1.8;21.3;-18.2
50062;-3.88;23.18;-20.28
50082;-4.9;24.32;-21.18
50102;-4.75;25.65;-21.97
50122;-4.75;24.56;-21.85
50142;-6.16;24.56;-20.48
50162;-7.57;24.52;-20.48
50182;-24.12;2.71;20.48
50202;-9.14;20.36;-20.79
50222;-16.79;20.01;-27.69
50242;-20.24;9.96;-21.42
50262;-11.65;10.51;-18.95
50282;-4.51;10.36;-17.38
50302;-4.9;6.12;-12.16
50322;-6.39;5.22;-8.51
50342;-4.67;5.45;-6.16
50362;-3.73;4.75;-5.96
50382;-4.71;2.94;-6.12
50402;-5.81;1.41;-5.33
50422;-4.94;0.78;-5.1
50442;-4.0;-0.08;-5.14
50462;-3.1;-1.18;-4.82
50482;-2.59;-1.84;-4.47
50502;-2.28;-1.73;-2.67
50522;-2.16;-1.8;-2.12
50542;-1.57;-2.12;-1.73
50562;-0.98;-2.31;-1.92
50582;-0.94;-1.96;-1.57
50602;-0.82;-1.37;-1.37
50622;-0.82;-1.45;-1.57
50642;0.27;-1.45;-1.73
50662;0.12;-2.16;-1.73
50682;-0.04;-2.86;-2.35
50702;-0.08;-3.8;-3.41
50722;-0.78;-4.79;-3.69
50742;-1.37;-6.2;-4.43
50762;-0.12;-7.3;-6.98
