Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
49402;-2.86;0.31;-5.22
49422;-3.37;0.71;-5.33
49442;-4.55;1.29;-5.61
49462;-5.18;1.53;-5.57
49482;-6.12;1.49;-5.77
49502;-6.43;2.20;-6.63
49522;-6.98;2.98;-6.55
49542;-8.28;3.61;-7.06
49562;-10.55;4.16;-9.69
49582;-11.34;4.16;-11.61
49602;-11.30;4.67;-11.49
49622;-11.30;5.37;-12.36
49642;-10.28;5.37;-12.32
49662;-9.02;5.65;-12.32
49682;-8.24;5.73;-12.04
49702;-8.08;6.20;-11.92
49722;-7.45;6.08;-11.77
49742;-6.51;5.37;-10.94
49762;-6.00;4.98;-10.28
49782;-6.00;4.90;-9.57
49802;-5.22;4.79;-9.45
49822;-4.04;5.14;-9.10
49842;-3.26;5.10;-8.75
49862;-2.39;5.45;-8.39
49882;-2.35;5.73;-8.87
49902;-2.94;5.84;-9.14
49922;-3.02;6.55;-9.10
49942;-1.77;8.00;-8.55
49962;-1.14;10.90;-9.14
49982;-1.92;13.49;-11.69
50002;-2.16;14.00;-14.87
50022;-1.22;17.26;-16.99
50042;-1.80;21.30;-18.20
50062;-3.88;23.18;-20.28
50082;-4.90;24.32;-21.18
50102;-4.75;25.65;-21.97
50122;-4.75;24.56;-21.85
50142;-6.16;24.56;-20.48
50162;-7.57;24.52;-20.48
50182;-24.12;2.71;20.48
50202;-9.14;20.36;-20.79
50222;-16.79;20.01;-27.69
50242;-20.24;9.96;-21.42
50262;-11.65;10.51;-18.95
50282;-4.51;10.36;-17.38
50302;-4.90;6.12;-12.16
50322;-6.39;5.22;-8.51
50342;-4.67;5.45;-6.16
50362;-3.73;4.75;-5.96
50382;-4.71;2.94;-6.12
50402;-5.81;1.41;-5.33
50422;-4.94;0.78;-5.10
50442;-4.00;-0.08;-5.14
50462;-3.10;-1.18;-4.82
50482;-2.59;-1.84;-4.47
50502;-2.28;-1.73;-2.67
50522;-2.16;-1.80;-2.12
50542;-1.57;-2.12;-1.73
50562;-0.98;-2.31;-1.92
50582;-0.94;-1.96;-1.57
50602;-0.82;-1.37;-1.37
50622;-0.82;-1.45;-1.57
50642;0.27;-1.45;-1.73
50662;0.12;-2.16;-1.73
50682;-0.04;-2.86;-2.35
50702;-0.08;-3.80;-3.41
50722;-0.78;-4.79;-3.69
50742;-1.37;-6.20;-4.43
50762;-0.12;-7.30;-6.98
50782;-0.35;-7.10;-7.65
50802;-3.18;-6.32;-6.20
50822;-3.88;-6.98;-7.61
50842;-3.77;-6.79;-9.81
50862;-5.14;-6.04;-9.45
50882;-4.94;-7.14;-9.14
50902;-3.33;-7.18;-12.20
50922;-4.75;-6.63;-12.40
50942;-6.98;-6.51;-10.79
50962;-5.49;-6.55;-13.02
50982;-4.79;-5.22;-13.57
51002;-6.04;-4.79;-12.12
51022;-5.81;-4.63;-12.28
51042;-5.02;-4.08;-13.61
51062;-6.12;-4.39;-12.79
51082;-7.49;-4.75;-11.49
51102;-5.81;-3.41;-13.06
51122;-4.12;-2.43;-13.26
51142;-4.12;-2.43;-12.24
51162;-3.92;-2.75;-12.24
51182;-4.35;-3.18;-10.63
51202;-5.77;-3.80;-10.16
51222;-6.75;-4.00;-10.36
51242;-6.79;-3.73;-10.24
51262;-5.77;-2.94;-10.79
51282;-4.12;-2.71;-11.18
51302;-4.28;-3.10;-10.83
51322;-5.30;-3.22;-10.43
51342;-6.28;-2.94;-9.85
51362;-7.02;-2.51;-9.65
51382;-5.96;-1.80;-9.65
51402;-5.06;-2.39;-9.26
51422;-5.02;-2.39;-8.87
51442;-5.45;-1.84;-8.63
51462;-6.39;-2.75;-9.65
51482;-6.63;-3.30;-9.65
51502;-6.24;-1.61;-10.75
51522;-4.63;0.35;-11.38
51542;-3.84;0.90;-11.61
51562;-3.80;0.75;-10.79
51582;-4.71;0.82;-10.63
51602;-5.49;0.78;-11.61
51622;-5.61;0.82;-12.04
51642;-5.61;1.14;-12.20
51662;-5.06;1.14;-12.20
51682;-3.96;1.61;-11.77
51702;-3.22;1.69;-10.98
51722;-3.53;1.73;-10.32
51742;-4.04;1.77;-9.77
51762;-4.43;1.61;-9.81
51782;-4.55;1.22;-9.41
51802;-4.71;1.06;-8.98
51822;-4.98;0.63;-8.67
51842;-5.61;0.16;-8.47
51862;-6.12;-0.20;-8.63
51882;-5.88;-0.55;-8.94
51902;-5.84;-1.22;-8.87
51922;-5.92;-1.84;-8.79
51942;-6.12;-1.92;-8.90
51962;-6.39;-2.12;-9.14
51982;-6.32;-2.35;-9.14
52002;-6.08;-2.39;-9.30
52022;-6.35;-2.71;-9.34
52042;-6.67;-2.94;-9.65
52062;-6.71;-2.90;-9.61
52082;-6.51;-2.67;-9.14
52102;-6.55;-2.63;-9.22
52122;-6.24;-2.59;-9.06
52142;-6.24;-2.82;-9.02
52162;-6.32;-2.82;-9.02
52182;-6.28;-2.79;-8.94
52202;-6.20;-2.59;-9.02
52222;-6.20;-2.16;-9.06
52242;-6.04;-1.92;-9.41
52262;-6.16;-1.77;-9.57
