Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²)
36878;4.67;-9.73;-0.04
36898;4.75;-9.69;-0.08
36918;4.86;-9.73;-0.04
36938;4.63;-9.89;0.04
36958;4.35;-9.96;0.12
36978;4.31;-9.89;0.08
36998;4.35;-9.85;0.08
37018;4.63;-9.89;0.00
37038;4.67;-9.85;-0.04
37058;4.71;-10.00;-0.04
37078;4.71;-10.00;-0.04
37098;4.94;-9.92;-0.12
37118;4.94;-9.73;-0.20
37138;5.14;-9.73;-0.27
37158;5.18;-9.65;-0.27
37178;5.10;-9.57;-0.16
37198;5.06;-9.57;-0.20
37218;5.26;-9.57;-0.39
37238;5.41;-9.30;-0.67
37258;5.26;-9.02;-0.75
37278;5.14;-9.02;-0.59
37298;5.22;-9.22;-0.59
37318;5.57;-9.30;-0.86
37338;5.84;-9.18;-1.02
37358;5.81;-8.94;-0.98
37378;6.00;-8.87;-0.82
37398;6.16;-8.98;-0.82
37418;6.00;-9.14;-0.55
37438;5.81;-9.22;-0.39
37458;5.92;-9.41;-0.20
37478;5.92;-9.53;0.08
37498;5.92;-9.45;0.24
37518;6.20;-9.38;0.16
37538;6.32;-9.18;0.00
37558;6.00;-8.87;0.00
37578;5.57;-8.79;0.16
37598;5.41;-8.75;0.31
37618;5.69;-8.71;0.12
37638;5.69;-8.79;0.20
37658;5.53;-8.90;0.31
37678;5.53;-9.10;0.43
37698;5.77;-9.10;0.55
37718;5.88;-9.18;0.55
37738;5.81;-9.34;1.10
37758;5.73;-9.34;1.37
37778;5.77;-9.10;1.33
37798;5.88;-8.90;1.45
37818;5.84;-8.87;1.41
37838;5.69;-8.79;1.33
37858;5.57;-8.79;1.26
37878;5.37;-8.75;1.14
37898;5.30;-9.06;1.06
37918;5.49;-9.30;0.71
37938;5.57;-9.57;0.67
37958;5.53;-9.53;0.55
37978;5.33;-9.57;0.31
37998;5.49;-9.49;0.20
38018;5.61;-9.41;0.27
38038;5.69;-9.30;0.24
38058;5.77;-9.38;0.04
38078;5.81;-9.30;0.00
38098;5.77;-9.14;0.00
38118;5.88;-9.14;-0.24
38138;5.96;-9.06;-0.31
38158;6.00;-9.06;-0.24
38178;5.88;-9.02;-0.39
38198;5.92;-8.94;-0.35
38218;5.96;-8.94;-0.39
38238;5.96;-8.90;-0.51
38258;5.96;-8.90;-0.59
38278;5.84;-8.90;-0.59
38298;5.88;-8.87;-0.55
38318;5.96;-8.98;-0.51
38338;5.92;-8.94;-0.71
38358;6.04;-9.06;-0.63
38378;6.08;-8.98;-0.63
38398;6.28;-8.94;-0.39
38418;6.24;-8.71;-0.20
38438;6.12;-8.79;-0.16
38458;6.20;-8.83;0.04
38478;6.28;-8.83;0.24
38498;6.32;-8.90;0.35
38518;6.39;-8.90;0.35
38538;6.35;-8.83;0.51
38558;6.24;-8.87;0.51
