Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
79062;3.84;-4.71;-6.16;8.653051484880926;8.638267365031435;-0.97212453547366
79082;3.84;-4.75;-6.16;8.674889048281829;8.4913927248608;-0.9890936517790477
79102;3.3;-4.55;-6.32;8.457830691140607;8.42307261960897;-0.9969869940923821
79122;2.47;-4.12;-6.63;8.187319463658419;8.349609268440549;-1.005474559738243
79142;1.69;-3.53;-7.14;8.142272410083072;8.309026926200216;-1.0101632281470385
79162;0.63;-3.02;-7.69;8.28573472903882;8.48911673926229;-0.9893566070740234
79182;0.2;-2.12;-8.2;8.471977337080169;8.864483688901618;-0.9459887021843275
79202;0.67;-1.69;-9.18;9.358279756450967;9.271079083423661;-0.8990128285354536
79222;1.18;-1.22;-9.92;10.064154211855064;9.748053971064024;-0.8439056818305126
79242;0.67;-0.82;-10.12;10.17524938269328;10.3474187352328;-0.7746582584447244
79262;0.75;-0.55;-10.63;10.670609167240642;10.885856558051822;-0.7124500104584086
79282;1.37;-0.39;-11.38;11.468801157924048;11.325729529841826;-0.6616294221714901
79302;2.39;0.16;-11.81;12.050468870546075;11.712811771912722;-0.6169079945797679
79322;3.37;0.71;-11.77;12.263519070805083;12.09510484860958;-0.5727398817341679
79342;4.39;0.78;-11.26;12.110660593047763;12.614050787245898;-0.5127836225821614
79362;5.69;1.65;-11.1;12.582074550724931;13.17959879265249;-0.44744320800225035
79382;8.28;2.79;-11.02;14.063530851105634;13.812477581501804;-0.37432375209944624
79402;9.69;3.69;-10.67;14.878208897579036;14.921911121350266;-0.24614568984911522
79422;10.16;5.1;-10.43;15.427913015051647;16.503107710603437;-0.06346262901882213
79442;12.63;7.34;-9.92;17.65782829229008;18.17653439619476;0.12987620757916632
79462;15.02;10.24;-9.45;20.488057496990777;20.0660709279025;0.3481832286726435
79482;16.99;11.89;-8.55;22.430664279062267;22.04619854163375;0.5769566625198942
79502;20.12;11.89;-6.75;24.325891556117732;23.901754192372323;0.7913377129988703
79522;20.79;13.45;-5.33;25.328551083707886;25.532450994733075;0.9797397657013353
79542;21.1;16.4;-3.37;26.93560654598296;26.80216316810617;1.126435570499926
79562;21.57;18.83;-0.71;28.64154150879453;27.931680178581633;1.2569339703421618
79582;21.57;18.83;2.9;28.779225145927747;29.202658687034;1.4037760807740245
79602;23.73;18.08;2.9;29.97347660849505;32.01752859948596;1.7289912089502775
79622;25.81;17.46;5.73;31.683443625969698;30.460922108738963;1.5491491575755811
79642;31.38;0.39;26.4;41.00995610824279;30.917036190816134;1.601846157536233
79662;15.89;11.57;6.98;20.85850905505952;32.27992226520103;1.7593067802847373
79682;27.5;14.0;3.53;31.05979555631363;30.593086010785065;1.5644186732835936
79702;34.64;11.41;4.82;36.78790698041953;28.813649109654165;1.358831979091126
79722;18.44;2.75;13.89;23.249262353889854;30.926077787421114;1.602890775614603
79742;29.54;9.49;8.28;32.112771602588275;30.92781097623248;1.6030910190499916
79762;28.87;8.51;9.02;31.42065244389429;29.62335108892402;1.4523806478263837
79782;29.22;4.28;9.65;31.068461500370436;30.453467231194857;1.5482878605950992
79802;28.79;2.55;8.98;30.26560754387726;28.803378101749836;1.3576453213570228
79822;26.05;4.08;7.45;27.399843065244006;26.873472687539355;1.1346742938597736
79842;22.56;4.43;6.39;23.862325955363193;24.7512769351847;0.889487061382686
79862;19.93;2.39;8.43;21.77112537284189;22.414016564826557;0.6194524045181405
79882;18.95;0.94;7.65;20.457482738597143;20.15249540357808;0.3581682538455886
79902;17.61;0.71;5.88;18.57930569208656;18.151676654604437;0.12700427606229292
79922;15.1;0.9;5.49;16.09223725900162;16.279362940258256;-0.08931291213303912
79942;12.51;-0.71;5.92;13.85823221049496;14.499483142780957;-0.29495077621844773
79962;10.71;-2.63;5.69;12.40955680111099;12.860535098356749;-0.4843061336308069
79982;10.16;-2.86;4.71;11.558083751210665;11.515612666405373;-0.6396913324846984
80002;8.98;-2.98;4.28;10.38456546996551;10.494016509298215;-0.7577211297795109
80022;7.22;-4.16;4.28;9.367625099244739;9.671712331514078;-0.8527257896378374
80042;5.96;-5.18;3.77;8.75025142495917;9.081959687408082;-0.9208626796933165
80062;4.98;-5.57;3.61;8.298035912190306;8.603216797116701;-0.9761740920398855
80082;4.98;-5.88;3.84;8.609320530680687;8.396253507297578;-1.0000855319712871
80102;3.73;-5.88;3.92;7.990851018508605;8.361239081989151;-1.0041309128126275
80122;3.18;-6.63;3.92;8.33280865014912;8.42937377842073;-0.9962589916502229
80142;2.82;-7.53;2.98;8.57517929841703;8.559571226337265;-0.9812166696142771
80162;1.8;-8.08;2.47;8.638709394348208;8.950227812479245;-0.9360822812814276
80182;1.41;-8.94;1.96;9.260307770263362;9.301242846788265;-0.8955278674274808
80202;1.45;-9.57;2.28;9.944133949218505;9.565339120136912;-0.8650155858445866
80222;1.22;-9.89;1.57;10.087883821694222;10.136443038618626;-0.7990332705591159
80242;1.26;-9.77;0.94;9.895660665160259;10.637724638464254;-0.7411178553475523
