Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
43422;8.04;-11.34;-0.27;13.903600253171838;13.917564492266456;-0.21765102985572474
43442;8.28;-11.89;-0.9;14.516903939890213;14.339083909215438;-0.14477325920321787
43462;8.43;-12.32;-1.61;15.014639522812393;14.456939466848505;-0.12439685433562066
43482;8.24;-12.16;-1.84;14.803675219350092;14.341270260006803;-0.14439525438272258
43502;7.53;-11.73;-1.73;14.045878399017985;13.933923125648036;-0.21482273610735975
43522;7.18;-11.06;-1.92;13.325254218963329;13.25436949140879;-0.33231282531992723
43542;6.55;-10.36;-2.35;12.480168268096387;12.436127388017221;-0.47378118466815855
43562;6.04;-9.49;-2.9;11.61687135161615;11.686501173509372;-0.6033863348447212
43582;5.26;-8.83;-3.02;10.712464702392255;10.986568137890048;-0.7243998805816946
43602;4.94;-8.16;-3.88;10.297747326478738;10.323578946361092;-0.839026093046745
43622;4.59;-7.3;-4.71;9.82558904086671;9.642087741301648;-0.9568511747559321
43642;4.08;-6.43;-5.1;9.165222310451613;9.054235595347771;-1.0584867154873707
43662;3.3;-5.37;-5.26;8.20941532631892;8.544076978095214;-1.14668958636255
43682;2.71;-4.55;-5.69;7.773203972622872;8.166275143507471;-1.2120088915857168
43702;2.35;-3.88;-6.28;7.746954240215958;7.963299391625403;-1.2471019850444978
43722;2.16;-2.71;-7.14;7.936579867927998;8.064517011921694;-1.2296021636333327
43742;2.16;-1.8;-7.65;8.150343551041269;8.256952632440262;-1.1963313854589017
43762;2.04;-1.8;-8.28;8.71550342780037;8.577138207012633;-1.14097353020558
43782;2.59;-1.02;-8.28;8.735382075215714;9.082417750960222;-1.0536142171145
43802;3.18;0.08;-8.79;9.347882113077805;9.766107022909997;-0.9354091049529273
43822;3.61;1.33;-9.73;10.462977587665952;10.488480733891084;-0.810515722780092
43842;4.16;1.88;-10.63;11.568789910790152;11.50616687646478;-0.6345648784950305
43862;4.86;2.79;-10.98;12.327371982705804;12.796608808226296;-0.41145645842745354
43882;6.12;4.55;-11.53;13.82381278808419;14.158291797125381;-0.17603095588549472
43902;8.12;5.02;-12.59;15.800091771885377;15.732882564758194;0.09620481836589113
43922;10.36;5.33;-12.75;17.271392532161382;17.68943937570528;0.434479860519074
43942;11.53;8.63;-13.06;19.441743748954206;19.64830677819328;0.7731543878528191
43962;12.98;11.81;-13.45;22.110156037441254;21.681164698098115;1.124621360188966
43982;15.73;12.71;-12.2;23.618149800524172;23.631850206347156;1.461881295008407
44002;18.71;14.47;-10.71;25.964381371409566;24.99354602779569;1.697309016208767
44022;19.77;16.48;-8.24;27.02482007340659;25.901147453050527;1.8542269797805753
44042;21.26;14.71;-4.55;26.25022285619686;25.883619914270582;1.8511965904320762
44062;22.75;13.85;-0.86;26.64816316371543;25.56601552984261;1.796285004972719
44082;18.75;4.24;13.57;23.530512106624453;25.292065450047843;1.748920944664353
44102;22.63;9.06;0.08;24.376359449269696;24.548100771575573;1.620294634626943
44122;23.85;9.45;-0.24;25.655069674432774;23.78848958298349;1.488963151992082
44142;20.99;6.98;4.28;22.530399463835522;23.729158513898778;1.4787052234804587
44162;20.67;6.08;7.61;22.850107220755007;23.394664530967834;1.4208735441022455
44182;20.12;5.49;10.24;23.233856761200887;22.722195650244128;1.304608359416194
44202;18.95;3.65;11.96;22.703889534614987;22.439126058198536;1.2556675989712387
44222;18.04;0.98;13.06;22.292725270814245;21.592867227319225;1.1093553426204343
44242;16.95;-1.02;12.55;21.11505150360756;20.679719316188233;0.9514784302805346
44262;14.51;-2.24;11.45;18.618813066358445;19.67484072909888;0.7777419231141831
44282;14.51;-2.24;11.53;18.66811720554593;18.65975730533065;0.6022410707786048
44302;12.94;-3.49;11.53;17.6794965991682;17.635968159828018;0.4252350598040325
44322;12.4;-4.31;11.14;17.217308151973118;16.892790052991263;0.2967447425227088
44342;11.92;-4.63;9.61;15.996105776094382;16.046431753846008;0.15041528880167396
44362;10.79;-5.33;8.79;14.902922532174687;15.217292859317865;0.007062950179017851
44382;9.53;-6.35;8.79;14.436325709819656;14.222389171876605;-0.1649489663288597
44402;8.71;-6.94;7.69;13.53380212652749;13.257176969191267;-0.3318274319697837
44422;7.77;-6.71;6.67;12.24278971476681;12.461454014434148;-0.46940238739999396
44442;6.83;-6.83;5.61;11.170044762667695;11.65451288569508;-0.6089168869596632
44462;6.2;-7.49;4.98;10.924307758389087;10.882116438548811;-0.742458851729343
44482;6.16;-7.45;3.84;10.401620066124316;10.329758906944416;-0.8379576209149201
44502;5.57;-7.34;2.94;9.671819890796147;10.053533394937435;-0.8857150876008558
44522;5.22;-7.57;2.31;9.481002056744847;9.856592364809714;-0.919764819709528
44542;5.02;-8.08;2.31;9.788917202632781;9.751310629613348;-0.9379672982740382
44562;4.94;-8.39;2.0;9.939602607750473;9.723555158725603;-0.94276602583053
44582;4.9;-8.47;1.33;9.875211390142493;9.769788272622737;-0.9347726425232211
44602;4.63;-8.28;0.94;9.533042536357424;9.84026714254816;-0.9225873369080007
