Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
410603;-14.98;-2.12;-9.92;18.091467602159867;17.72564674608521;-0.06855779822526446
410623;-13.61;-2.47;-8.59;16.282539728187366;16.275626294159046;-0.2030687898855433
410643;-12.55;-2.67;-7.41;14.816865390493362;14.665713009934663;-0.35241222298017183
410663;-10.79;-3.26;-6.04;12.788013919291767;13.06649353470262;-0.5007636460308907
410683;-9.22;-4.12;-5.18;11.349678409540951;11.728198298855173;-0.624910460007852
410703;-7.65;-5.14;-4.12;10.09537022599964;10.703570175617761;-0.7199599779347154
410723;-7.02;-6.0;-2.59;9.591063548950137;9.810083974213894;-0.8028441295519987
410743;-6.63;-6.67;-2.35;9.693724774306315;9.069249989381474;-0.8715675146760308
410763;-4.86;-6.67;-1.06;8.320582912272434;8.573527512270804;-0.9175531570825708
410783;-3.92;-6.55;0.43;7.6455084853788495;8.276393455723735;-0.9451167659607046
410803;-2.94;-6.83;1.65;7.6167578404462875;7.992263864020932;-0.9714740170527192
410823;-2.55;-7.3;2.43;8.105393266214787;8.200392991936747;-0.9521669408303411
410843;-1.73;-7.22;3.65;8.273076815792296;8.96550052681869;-0.8811918224401061
410863;-1.29;-7.69;5.18;9.361228551851514;9.94717829987496;-0.7901265891399507
410883;-1.29;-8.98;7.02;11.471046159788566;10.88793882971903;-0.7028570395166472
410903;-0.86;-9.26;8.39;12.525146705727641;12.053293679169206;-0.5947530219302525
410923;-0.39;-8.55;9.53;12.80919591543513;13.461793006134172;-0.46409373297248524
410943;-1.33;-8.12;11.45;14.099851063043182;14.793387960836295;-0.34056846985714323
410963;-2.75;-7.14;14.51;16.403725186676347;15.995979959579728;-0.22901015211147532
410983;-2.75;-4.67;17.3;18.129020933299184;17.37493308261593;-0.10109171359135241
411003;-4.75;-4.67;17.3;18.538106699444796;18.54660113017065;0.0075979471399111945
411023;-6.94;-1.73;18.36;19.70396153061612;19.37341887385286;0.08429760642904197
411043;-7.37;1.18;18.51;19.958191300816814;20.181690915676242;0.15927687567487858
411063;-7.85;5.77;18.08;20.537813905087365;21.241976454072553;0.25763414989352024
411083;-10.47;10.75;16.32;22.17038114241611;22.977918772713814;0.4186686528450482
411103;-11.77;16.44;12.63;23.839534391426355;25.81547607279033;0.6818943513647756
411123;-10.43;24.28;10.36;28.383673123822437;30.081301614309915;1.0776132000729617
411143;-9.73;31.3;9.57;34.14597780119937;35.89461588292399;1.6168846745307206
411163;-11.96;39.46;7.26;41.8669416126853;40.2407186601087;2.020050432392993
411183;-15.18;48.6;5.73;51.23695248548649;43.57220716757179;2.3290956063754775
411203;-14.63;40.4;-15.18;45.5700482773499;44.753977591531324;2.4387224129701197
411223;-22.48;38.91;-3.06;45.04111566113788;44.633231512542686;2.4275214159067495
411243;-13.93;37.19;-5.22;40.05482992099704;41.74368227494536;2.1594726908807584
411263;-2.71;39.42;-11.89;41.26321121774213;39.94480460734818;1.9925999970352328
411283;-3.45;33.26;-15.34;36.78920629749981;37.19676869276833;1.737678740236974
411303;-13.02;28.83;-18.36;36.575659939364044;34.42561530063746;1.4806129931138088
411323;-12.79;25.14;-13.57;31.30093608823864;30.894668515290466;1.153065093381921
411343;-12.98;20.08;-10.71;26.199062960342683;27.621037828226747;0.8493870939016192
411363;-10.16;19.89;-7.65;23.608477291007144;23.56635120870471;0.4732545246409029
411383;-8.12;17.57;-6.51;20.421052862181224;20.245661226980157;0.16521107474005464
411403;-10.2;11.49;-5.45;16.30222684175386;17.827866352786547;-0.059075407376048675
411423;-8.16;11.92;-2.71;14.697486179615886;16.483091977465204;-0.18382325803120392
411443;-8.28;11.41;-0.59;14.110088589374623;15.611367669591033;-0.26468866992988777
411463;-9.89;13.57;1.77;16.884605414400422;15.34767320847296;-0.28915025832555336
411483;-8.16;13.69;-2.0;16.06243132281038;15.357074071840433;-0.28827818824382323
411503;-8.16;12.28;-2.67;14.98375453616349;15.14916729269783;-0.3075646383061083
411523;-7.96;12.28;-1.8;14.744490496453244;14.379254456831939;-0.37898551992659185
411543;-8.63;9.65;-1.8;13.070554693661627;13.710570071347712;-0.44101595520751957
411563;-7.49;10.59;-1.29;13.035041235070949;12.954591352446528;-0.5111442399626669
411583;-6.16;10.9;-2.24;12.71900939538925;11.89457652112137;-0.6094764020688953
411603;-5.33;9.3;-3.26;11.203860941657569;11.08234349168257;-0.6848231119059293
411623;-4.35;7.41;-3.92;9.444416339827464;10.300188115450023;-0.7573796714701082
411643;-5.37;5.81;-4.31;9.009389546467618;9.712048783950358;-0.811938353459279
411663;-6.59;4.2;-4.71;9.12426435390821;9.434813200828945;-0.8376560825848514
411683;-7.57;3.92;-4.79;9.778312737890928;9.40570303730388;-0.8403564837812261
411703;-8.08;2.51;-4.98;9.817683026050494;9.417645405766674;-0.839248651251989
411723;-7.81;0.82;-4.98;9.298865522202156;9.431919501782051;-0.8379245162664914
411743;-7.61;1.18;-4.79;9.069101388781581;9.34306813908572;-0.8461668033947694
411763;-7.49;2.2;-4.86;9.19563483398509;9.239137943845215;-0.8558078768063039
411783;-7.65;1.61;-5.1;9.334055924409283;9.28075275353488;-0.8519474834500068
