Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
421346;-17.06;-5.49;-8.87;19.996514696316456;19.738847209413727;-0.21771602056393613
421366;-16.4;-5.96;-8.08;19.229352563203992;19.031101653612364;-0.28576410734688645
421386;-15.69;-6.67;-7.02;18.437608304766645;18.049089708912703;-0.3801822686296557
421406;-14.59;-7.3;-5.26;17.14134475471513;16.753477580374632;-0.5047523571835509
421426;-12.91;-7.57;-3.8;15.44062822556129;15.340966063032308;-0.640562049701075
421446;-10.94;-7.45;-2.75;13.518454053626101;13.826920879982524;-0.7861339676947156
421466;-9.18;-7.77;-1.84;12.16679497649237;12.30988399239549;-0.9319935311116455
421486;-7.3;-8.0;-0.9;10.867382389517726;11.033145660918832;-1.0547489480369714
421506;-5.33;-7.92;-0.43;9.556160316779957;10.642931022536867;-1.0922671766700396
421526;-3.8;-8.2;0.59;9.056936568178006;10.242234320881881;-1.130793231273077
421546;-7.45;-8.67;1.77;11.567380861716277;10.09709805112883;-1.144747745573526
421566;-2.86;-9.38;2.67;10.163311468217433;10.411961223830813;-1.1144743848647898
421586;-1.73;-9.14;4.04;10.141701040752483;10.98283670006538;-1.0595860374486306
421606;-2.55;-9.41;5.37;11.130476180289863;11.090670090747887;-1.0492181080888277
421626;-3.37;-9.57;6.24;11.911313949350845;11.52757941987625;-1.0072102936969112
421646;-3.88;-9.3;6.71;12.106547815128803;11.969883662066596;-0.9646837709793555
421666;-3.88;-9.14;7.34;12.347858113859262;12.088268752221662;-0.9533013202911872
421686;-3.84;-9.14;7.37;12.353222251704208;11.859054963187287;-0.9753396922459207
421706;-3.37;-8.47;7.37;11.722401631065198;11.391652255669229;-1.0202793739480005
421726;-3.22;-7.61;6.9;10.765245004178958;10.899797498376355;-1.0675700632847571
421746;-3.1;-6.43;6.67;9.769534277538515;10.828671333025232;-1.0744086784235996
421766;-3.22;-5.14;7.81;9.888584327394897;11.724838472983112;-0.9882442951759601
421786;-4.9;-2.79;10.59;11.997591424948594;13.874154868066176;-0.7815925297529656
421806;-8.08;2.08;13.89;16.2032373308546;17.445959188506777;-0.4381718634177964
421826;-12.79;7.45;15.61;21.51182697959427;22.265805121560813;0.025245097161413214
421846;-16.51;14.59;16.67;27.628555879741526;27.868660734359175;0.5639466147433181
421866;-16.55;23.81;17.73;33.987813992665075;33.318714965979986;1.0879566354140888
421886;-14.24;34.36;14.75;40.011869488940405;39.26272278208107;1.6594591427673147
421906;-12.63;40.48;9.49;43.45350848895863;42.76107233287879;1.9958173040845317
421926;-25.46;40.05;-19.3;51.23186606009974;44.56324115806521;2.169091639201984
421946;-16.71;41.11;-8.16;45.120303633730124;44.76710025721305;2.1886922167776346
421966;-21.14;36.21;-9.53;42.99865811859714;43.83038411525003;2.0986291414297193
421986;-21.26;32.83;-12.4;41.031164984679634;41.169041951287824;1.8427472908861713
422006;-20.48;30.4;-12.63;38.769927779143465;39.58740045487276;1.6906761448007628
422026;-20.55;29.85;-11.18;37.92515524028874;37.52132171449507;1.4920274860092009
422046;-18.48;29.89;-12.24;37.21209615165478;35.3345092876805;1.2817705644670794
422066;-16.95;25.89;-10.47;32.668264416708766;33.04863382584223;1.0619889628347499
422086;-15.3;24.6;-8.16;30.097102850606735;30.164636281174985;0.7846993160221709
422106;-14.47;22.32;-6.32;27.340550469952138;26.935952211007752;0.4742688625907799
422126;-14.08;18.44;-3.77;23.505167516952522;24.29086564444652;0.2199499498764881
422146;-12.75;16.71;-1.45;21.068675800818617;21.917537777480153;-0.008239996823860478
422166;-12.08;15.22;-0.67;19.442831583902585;20.094484610342857;-0.18352231277825218
422186;-12.2;13.53;-0.67;18.230463515774908;18.80783128496417;-0.3072310332742853
422206;-12.2;13.53;-0.51;18.225284634265662;17.895135960973285;-0.3949845629209706
422226;-11.89;12.24;-0.51;17.07190089005908;17.0256257880894;-0.47858594087108103
422246;-11.26;12.04;-0.82;16.505199180864192;20.964564132992166;-0.09986619317426648
422266;-10.63;10.59;-1.65;15.09528071948316;24.76192643646999;0.2652413478837333
422026;-20.55;29.85;-11.18;37.92515524028874;27.881199141799925;0.5651521534155914
422046;-18.48;29.89;-12.24;37.21209615165478;30.599579875748436;0.8265181296150171
422066;-16.95;25.89;-10.47;32.668264416708766;33.04863382584223;1.0619889628347499
422086;-15.3;24.6;-8.16;30.097102850606735;30.16463628117499;0.7846993160221712
422106;-14.47;22.32;-6.32;27.340550469952138;26.935952211007752;0.4742688625907799
422126;-14.08;18.44;-3.77;23.505167516952522;24.29086564444652;0.2199499498764881
422146;-12.75;16.71;-1.45;21.068675800818617;21.917537777480156;-0.008239996823860136
422166;-12.08;15.22;-0.67;19.442831583902585;20.09448461034286;-0.18352231277825182
422186;-12.2;13.53;-0.67;18.230463515774908;18.807831284964173;-0.30723103327428497
422206;-12.2;13.53;-0.51;18.225284634265662;17.895135960973285;-0.3949845629209706
422226;-11.89;12.24;-0.51;17.07190089005908;17.025625788089403;-0.4785859408710807
422246;-11.26;12.04;-0.82;16.505199180864192;15.852990584063926;-0.5913320845581543
422266;-10.63;10.59;-1.65;15.09528071948316;14.361688517913375;-0.7347173048328364
