Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
83888;-1.06;-7.41;-4.75;8.865336993030779;8.642029928365321;-0.8080413381478276
83908;-1.33;-6.75;-5.3;8.684549498966541;8.625277268459369;-0.8096399454214284
83928;-1.73;-5.77;-5.73;8.313765693114041;8.614738641876299;-0.8106455842396243
83948;-2.12;-5.45;-6.2;8.522728436363558;8.695672322018481;-0.8029225617177737
83968;-2.63;-4.39;-7.02;8.687312587906574;8.93295694151652;-0.7802798935819281
83988;-3.33;-4.04;-7.65;9.27000539374169;9.385699016785722;-0.7370773944770957
84008;-3.92;-3.49;-8.36;9.870972596456744;9.961802359942727;-0.6821032590331295
84028;-3.45;-3.57;-9.34;10.57747606946005;10.669442703183426;-0.6145773254710202
84048;-3.1;-3.84;-10.28;11.403245152148576;11.418252412794473;-0.5431228427174007
84068;-3.06;-4.0;-11.14;12.225514304110073;12.201372529158622;-0.4683943207303923
84088;-2.82;-2.94;-12.36;13.014053941796922;12.96928085969115;-0.3951173695155122
84108;-2.82;-2.04;-13.34;13.78657317827748;13.745375848638918;-0.32105921389711883
84128;-2.94;-0.98;-14.08;14.417017722122699;14.50107976111641;-0.2489468581305063
84148;-2.43;0.94;-15.06;15.283720096887407;15.344390270680242;-0.16847472283611387
84168;-1.41;2.59;-15.73;16.004033866497533;16.116361681805312;-0.094810055865949
84188;-1.41;3.96;-16.71;17.230606489616086;16.803804535645476;-0.029211449286267073
84208;-0.75;3.96;-17.18;17.646430233902834;17.282348340476936;0.01645315630083517
84228;0.04;4.86;-17.18;17.854231991323513;17.766356352210728;0.06263917884187578
84248;1.26;6.08;-16.55;17.676439121044712;17.809661941327846;0.06677157513827495
84268;2.79;8.32;-16.2;18.424073925166496;17.486277327841822;0.03591289369953459
84288;3.1;8.39;-14.98;17.447134435201672;17.10445899467783;-0.0005217720799109495
84308;2.59;7.57;-13.89;16.029507166472712;16.998206603356685;-0.010660809495880413
84328;4.71;8.75;-12.47;15.945140325503568;16.494894607886835;-0.05868889705723283
84348;6.79;12.47;-9.61;17.145177164438984;16.42282869095194;-0.06556572137274963
84368;5.73;14.2;-4.31;15.907513947817238;18.03480272304668;0.08825542864335452
84388;6.12;15.93;-0.86;17.086804850527205;21.39961566913933;0.4093396313984434
84408;12.71;20.44;0.98;24.089377326946416;25.653457561837307;0.8152586095541822
84428;10.12;30.6;5.92;32.7692050559668;34.42494167931931;1.6522694716620236
84448;-1.53;35.89;13.61;38.41438662792886;39.41241598422075;2.1281946528256235
84468;-8.24;29.93;51.07;59.76493453522726;43.06443095495872;2.476684846519964
84488;14.12;21.81;33.03;42.02417637503441;43.43961815845753;2.5124867428064177
84508;20.52;17.89;32.44;42.34945218063629;42.90003671082613;2.460997675892505
84528;9.57;13.85;30.28;34.64514107346079;38.332330570278316;2.0251284884952043
84548;-0.43;12.16;33.58;35.716479389771884;37.07314180206142;1.9049715501338673
84568;1.06;11.14;35.19;36.926403832488205;35.33686287833968;1.7392887193449997
84588;8.36;6.67;34.09;35.72823253394996;33.93901790053273;1.6059006387993804
84608;15.93;0.24;29.66;33.66805756202754;30.708461216544645;1.2976277172576438
84628;13.53;-0.12;24.12;27.655916184426072;26.85481236744723;0.9298967948456377
84648;8.63;-0.98;17.53;19.563695969831468;22.538285158247923;0.5179961276047292
84668;3.92;2.79;16.99;17.65815958700113;18.02815649938548;0.08762121881957624
84688;2.63;1.57;13.81;14.145596487953416;14.60038097381065;-0.23947113058744376
84708;3.45;1.88;10.4;11.117414267715313;12.588782490049681;-0.43142607898116403
84728;4.16;2.0;9.45;10.517038556551933;10.901415195744525;-0.5924415621972895
84748;4.16;2.12;8.28;9.505703551026615;10.003050154914655;-0.6781672258639316
84768;5.22;2.12;7.3;9.221323115475348;9.50348493281458;-0.7258377809978915
84788;5.57;2.98;7.3;9.653771283804065;9.081586067749138;-0.7660970949339372
84808;4.08;2.35;7.22;8.619588157214938;8.961713445171277;-0.7775358304800747
84828;4.04;1.84;7.14;8.407544231224716;8.832798349140589;-0.7898374357981879
84848;4.28;2.67;7.34;8.906340438137317;8.853244748386228;-0.787886356821087
84868;5.1;1.41;6.75;8.576747635321912;9.086632407387219;-0.7656155525821086
84888;6.12;2.24;7.26;9.756003280032248;9.229671724387083;-0.7519661563757408
84908;-4.08;5.84;6.71;9.786526452219908;9.283367396619743;-0.7468422958858901
84928;5.92;0.12;6.94;9.122740816224036;9.38247205745871;-0.737385324124133
84948;5.18;-0.2;7.57;9.174818799300617;9.119410021352888;-0.7624877787007692
84968;5.06;-0.04;7.53;9.072270939516743;8.812963901159357;-0.7917301198846945
84988;5.22;-0.2;6.63;8.440693099503143;8.67130610867552;-0.8052476853756787
85008;5.22;0.75;6.35;8.254295851252243;8.56193094404892;-0.8156847105827172
85028;4.9;1.33;6.71;8.414451853804858;8.499216462837179;-0.8216691826837457
85048;5.02;1.61;6.83;8.62794297616761;8.644873905752695;-0.8077699542026551
85068;5.26;0.94;6.94;8.75869853345804;8.844356325587711;-0.7887345264500484
