Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
69020;-6.16;-3.41;-1.06;7.120203648772977;7.304994009252286;-0.8110588595583162
69040;-6.59;-4.24;-0.39;7.845877898616572;7.552672095156171;-0.7774157791114258
69060;-6.9;-4.28;-0.12;8.120517224906305;7.796756169110141;-0.7442608873257034
69080;-6.9;-3.88;0.71;7.947861347557594;7.988048222406766;-0.7182769416147912
69100;-6.83;-3.88;1.22;7.949320725697259;8.09894287931048;-0.7032136878362968
69120;-6.79;-4.2;1.22;8.0766639152561;8.175010014006446;-0.6928811922398396
69140;-6.67;-4.79;1.77;8.400351183135143;8.43126438857611;-0.6580731610526946
69160;-6.55;-5.02;2.04;8.500852898386137;8.72920637755107;-0.6176025386033555
69180;-7.34;-5.02;2.47;9.229133220405911;9.09955534140694;-0.5672965943412511
69200;-7.02;-5.45;3.18;9.439030670572059;9.511942989660753;-0.5112803716105452
69220;-7.02;-5.77;4.0;9.92840873453546;9.959495855867562;-0.45048752016758314
69240;-7.61;-5.65;4.43;10.462289424404203;10.397593904065003;-0.3909789535322134
69260;-7.73;-5.81;4.67;10.738617229420182;11.041226886342688;-0.3035517751364501
69280;-7.18;-6.75;5.77;11.419623461393112;11.650834718654071;-0.22074636557161212
69300;-7.41;-7.14;7.37;12.657195581960485;12.098035866005706;-0.16000128947258557
69320;-7.57;-6.47;8.32;12.976447896092365;12.61871943555241;-0.08927480935745855
69340;-6.35;-5.69;9.41;12.698295161162383;13.23929194588907;-0.004980024810040235
69360;-5.49;-5.53;10.83;13.34203507715371;14.022365765057794;0.10138794633283527
69380;-5.65;-5.49;12.2;14.52248601307641;15.192054273424954;0.2602712986536001
69400;-5.65;-5.57;14.55;16.572564677804095;16.771480576555174;0.4748109337699872
69420;-7.1;-5.69;16.48;18.824890437928183;18.41259696864875;0.6977301742850345
69440;-8.04;-5.18;18.24;20.59542667681347;19.939816814763;0.90517840271994
69460;-7.57;-4.9;19.57;21.547617037621585;21.55066437362287;1.123986109556912
69480;-6.75;-5.1;20.48;22.158585243647664;23.528996829617476;1.3927107233023093
69500;-8.08;-4.67;22.79;24.626802472103435;25.564064888508128;1.669141955279467
69520;-10.98;-4.2;26.2;28.71655271790122;26.226625551069514;1.7591401543133045
69540;-13.57;-2.94;27.46;30.770766971266738;26.283133095650793;1.7668157944946565
69560;-7.3;-1.88;23.69;24.860420350428512;26.326201326692512;1.772665920299505
69580;-7.3;0.16;21.22;22.441122966554058;26.13727139664606;1.7470028310028414
69600;-3.73;0.16;24.56;24.842143627312034;27.20973353111707;1.8926795457375218
69620;-12.75;2.35;24.56;27.771903067668948;29.06174559165555;2.144245567470614
69640;-21.5;-0.78;29.03;36.13307764362178;28.64399468085394;2.0875008318692805
69660;-20.44;-1.06;27.3;34.120480653120936;26.247247117588746;1.7619412621255501
69680;-8.83;3.06;18.08;20.352368412545996;24.955287412412083;1.586449336238063
69700;-0.16;5.77;11.49;12.858405810986058;20.70614530926183;1.0092717910997806
69720;-3.84;19.61;-7.41;21.312104541785637;16.40188885607746;0.42460784882947433
69740;-8.9;7.34;9.41;14.88736712787053;14.953322875986483;0.2278434817964485
69760;-5.18;6.35;9.57;12.599198387199085;15.328866849404127;0.2788550844698382
69780;-10.0;4.98;6.86;13.109538512091111;12.891521281957614;-0.05221907052946995
69800;-13.61;3.18;4.67;14.736125678074274;11.031047408755844;-0.30493449328089833
69820;-8.79;2.28;0.9;9.125376704553076;9.56102295315271;-0.5046136487389419
69840;-5.37;-0.12;-1.53;5.584997761861683;7.895702936208224;-0.7308205620208141
69860;-4.16;-0.94;-3.06;5.249076109183406;6.08417846538141;-0.9768869965263994
69880;-2.51;-1.1;-3.92;4.7829384273686815;5.433212148369343;-1.0653102903819234
69900;-2.9;-1.77;-4.55;5.678503323940208;5.417529988940567;-1.0674404592635096
69920;-3.65;-2.12;-4.08;5.870545119492738;5.388283236144547;-1.0714131597692322
69940;-3.61;-2.98;-2.9;5.5065869647178;5.463738185449045;-1.0611638197022537
69960;-3.37;-2.86;-2.55;5.1028423452033085;5.513571999282355;-1.0543946983984818
69980;-3.33;-2.9;-2.67;5.160213173891171;5.748549204115038;-1.0224768281657508
70000;-4.2;-3.22;-2.67;5.927672393106758;6.135137722175261;-0.9699650019156425
70020;-5.22;-3.96;-2.59;7.045431143656149;6.569355835420812;-0.9109834619780073
70040;-6.12;-3.49;-2.39;7.439529555018919;7.112573179185803;-0.8371961314205361
70060;-5.33;-4.04;-2.86;7.273932911431064;7.524366469057819;-0.781260642707053
70080;-4.86;-4.98;-3.69;7.876299892716123;7.7770636197115195;-0.746935803118937
70100;-4.86;-4.98;-3.92;7.986638842466836;8.02718762789785;-0.7129604835083965
70120;-4.94;-5.41;-3.92;8.308916896924652;8.511961820632623;-0.6471117141058369
70140;-5.57;-5.53;-3.73;8.690149595950578;8.891625881534408;-0.5955404638795709
70160;-6.12;-6.51;-3.77;9.69780387510492;9.21140530879197;-0.5521035770140059
70180;-5.3;-7.26;-3.84;9.774620197225056;9.46403149896106;-0.5177883762652877
70200;-5.45;-7.18;-3.26;9.585535978754656;9.747111176007627;-0.47933655961384125
