Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
80560;-9.45;-1.73;-3.77;10.320285848754384;10.054397426912297;-0.34941958770519915
80580;-8.71;-1.96;-3.45;9.571217268456506;9.474039548297098;-0.4156755715515488
80600;-7.96;-1.96;-2.98;8.722591358077025;8.913164559842233;-0.479707310490905
80620;-7.41;-1.84;-2.51;8.03702681344289;8.30500848563322;-0.5491368478739381
80640;-7.41;-1.8;-2.12;7.914701510480355;7.76064239871604;-0.6112838643792476
80660;-6.94;-1.8;-1.26;7.27950547770932;7.303269806501378;-0.6634993545072455
80680;-6.39;-2.12;-1.26;6.849386833870605;6.973601505966042;-0.7011356103413895
80700;-5.96;-2.39;-0.43;6.4357283970037145;6.651852703999907;-0.7378677444454655
80720;-5.84;-2.59;0.04;6.388685310766214;6.411290244394547;-0.7653313199821368
80740;-5.69;-2.67;0.51;6.305957500649684;6.25429209666905;-0.7832548584105766
80760;-5.37;-2.67;0.98;6.076693179682516;6.192758101285721;-0.7902798262008777
80780;-4.98;-3.02;1.69;6.0643960952431195;6.152791615612626;-0.7948425605527751
80800;-4.39;-3.49;2.47;6.128058420087067;6.220861564558829;-0.7870714220811774
80820;-3.53;-3.41;3.77;6.188852882400744;6.48723680113618;-0.7566609563632846
80840;-3.69;-3.02;4.63;6.646307245380701;7.008178795477218;-0.69718812824505
80860;-4.2;-2.9;5.37;7.408569362569267;7.690278829723337;-0.6193168517174674
80880;-3.37;-3.33;7.26;8.669106066948311;8.538878306709254;-0.5224373308029613
80900;-3.45;-3.8;8.04;9.538558591317662;9.622906728328303;-0.3986802970169216
80920;-2.43;-3.69;9.45;10.431850267330335;10.991794897489156;-0.24240253158054278
80940;-1.26;-4.04;11.3;12.066449353475942;12.494466230051051;-0.07085154346583411
80960;-1.61;-4.31;13.49;14.253010208373528;14.29097372776273;0.13424496014715842
80980;-1.84;-4.16;15.53;16.18246272975779;16.5168875239522;0.38836420959303614
81000;-2.43;-5.06;17.65;18.52109607987605;18.967619034788964;0.6681495513225006
81020;-3.3;-5.88;20.48;21.561419248277698;21.747400639012646;0.9855005718777691
81040;-3.8;-6.0;23.26;24.320106907659763;24.69761287024256;1.3223086365879166
81060;-7.81;-5.88;26.4;28.151918229491926;27.087768109451407;1.5951783481134318
81080;-12.32;-5.22;27.89;30.93352388590734;28.988518623132354;1.8121756526574548
81100;-11.02;-5.61;27.85;30.471872275920298;30.489330939349305;1.9835144080077618
81120;-10.08;-5.88;28.79;31.065171816682422;32.081517473103034;2.1652848106298097
81140;-10.08;-3.92;29.93;31.824168488744526;33.573779293062096;2.335647407022315
81160;-15.46;-3.92;32.4;36.11285089826058;34.56346356151945;2.448633733770149
81180;-20.16;-4.24;32.4;38.39483298570265;32.904845516439345;2.2592792432886735
81200;-18.24;-3.14;30.2;35.42029361820706;30.109026248473544;1.9400972986967289
81220;-7.06;-0.04;21.65;22.7720815912819;25.871331275593057;1.4563050387572543
81240;-5.84;2.79;16.63;17.84507214891551;21.700468439745798;0.9801426037152317
81260;-4.51;12.12;7.45;14.924376033858167;18.492053146555644;0.6138570415286368
81280;-9.61;10.51;10.24;17.54051880646636;17.606756068662;0.5127879752619701
81300;-14.91;5.14;11.26;19.378217152256294;17.22841492205911;0.46959503204296144
81320;-17.5;0.78;5.45;18.345596201813667;16.512316478215023;0.3878423606724254
81340;-15.93;0.59;0.63;15.953366415901064;14.58874924221866;0.16824020756709038
81360;-10.9;2.39;-2.04;11.343883814637737;11.986028433139179;-0.12889684223811537
81380;-6.16;2.28;-4.43;7.922682626484542;9.508865567817077;-0.41169969343948765
81400;-2.79;0.59;-5.69;6.364613106858893;7.4653278476807445;-0.6449981583415767
81420;-3.37;-0.39;-4.9;5.959781875203152;6.08075468121727;-0.8030665859989842
81440;-4.04;-1.1;-3.92;5.7356778152194;5.338398659138051;-0.8878169278475061
81460;-2.43;-0.78;-3.61;4.421017982320362;5.084671799138934;-0.9167834041493342
81480;-1.45;-0.94;-3.84;4.210902516088446;5.083194319333326;-0.9169520791716622
81500;-1.73;-2.31;-4.2;5.09597880686331;5.2627584208706955;-0.8964523209203704
81520;-3.06;-3.57;-3.65;5.952394476175113;5.87290418115022;-0.8267956329928118
81540;-4.08;-4.0;-3.37;6.633498322906248;6.547220957850962;-0.7498129243734118
81560;-4.39;-4.82;-3.65;7.471746783717982;7.02371767824051;-0.6954141470460499
81580;-4.24;-5.06;-3.73;7.582486399592154;7.3939078702882455;-0.6531517495010785
81600;-4.43;-4.47;-4.04;7.478462408811051;7.668483947108209;-0.6218050429589247
81620;-4.59;-4.71;-4.2;7.803345436413795;7.776979561033952;-0.6094187483835563
81640;-4.59;-5.26;-3.92;8.006378707006057;7.915107314166816;-0.5936495299107394
81660;-4.79;-5.26;-3.69;8.014224853346704;8.10589993462164;-0.5718678788904745
81680;-5.14;-5.33;-3.69;8.273125165256475;8.322016709506858;-0.5471951207987138
81700;-6.12;-4.75;-3.33;8.432425511085171;8.62607138564482;-0.5124830190888633
81720;-6.55;-4.51;-3.96;8.883929310839884;8.955238837295791;-0.4749039421727881
81740;-6.43;-5.49;-4.39;9.526652087695865;9.36659541113261;-0.4279418253212771
