Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
119085;-2.12;-6.39;-2.04;7.034777892726962;7.090361531731894;-1.026577903631679
119105;-1.1;-6.59;-2.04;6.985678206158655;7.128418072084891;-1.024288720462902
119125;-0.12;-6.98;-2.2;7.319480855907748;7.255099336158288;-1.0166685685829286
119145;1.29;-7.06;-0.71;7.211920687306537;7.512500690485169;-1.0011853206975483
119165;2.31;-7.37;-0.04;7.723639038691542;7.7963100215829915;-0.9841135759234664
119185;2.04;-8.04;0.67;8.321784664361363;8.117339619166069;-0.9648029516615195
119205;1.77;-8.08;1.49;8.404724861647763;8.579074175484118;-0.9370286199707873
119225;1.49;-8.55;2.08;8.924628843823143;9.141039511039347;-0.9032251902407991
119245;1.06;-9.1;2.59;9.520593468896777;9.759488746022766;-0.8660241318593743
119265;0.63;-9.89;3.57;10.533465716467681;10.459349519654022;-0.8239259934415567
119285;0.08;-10.36;4.79;11.41403083927847;11.269047423023755;-0.7752209142358525
119305;-0.47;-10.51;5.57;11.90402872980404;12.233719415230397;-0.7171938085802578
119325;-1.61;-11.41;5.96;12.973118360671808;13.15684804887358;-0.6616656257462283
119345;-1.92;-12.51;6.75;14.343953429929979;13.915171934139588;-0.6160508047843011
119365;-2.31;-12.87;7.65;15.149108884683612;14.720041626763196;-0.567636152892084
119385;-2.51;-11.89;9.14;15.205650265608506;15.728371187741914;-0.506982950100603
119405;-2.86;-11.1;11.06;15.928377192922072;17.03239537903001;-0.4285430760951008
119425;-4.47;-11.53;13.1;18.0147661655654;18.807222184456;-0.32178340711864895
119445;-7.22;-12.16;15.34;20.86407438637046;21.20681156905575;-0.1774429184602135
119465;-10.83;-11.53;18.08;24.02324291181355;24.10653209129426;-0.0030184607429971804
119485;-15.02;-10.47;20.12;27.203597188607244;26.852971585048845;0.16218581176443686
119505;-17.61;-9.53;22.91;30.426979804114637;30.081694115638065;0.3564004514851751
119525;-20.04;-4.75;24.16;31.746963634338325;32.59144940508883;0.507367657465227
119545;-27.46;-2.98;24.63;37.00768703931657;36.14203999427671;0.7209433566904943
119565;-27.46;1.77;24.09;36.57201935906739;39.73129916942632;0.9368450549509585
119585;-39.03;1.77;22.24;44.95655013454658;42.803241804385024;1.1216290450395714
119605;-42.09;8.59;22.24;48.37327567986274;48.18033421352478;1.4450727770705225
119625;-39.97;15.34;19.65;47.10667680913184;53.690372941684224;1.7765135175795899
119645;-44.95;24.36;-38.32;63.89314908501537;53.242711783964225;1.749585731236893
119665;-60.57;21.03;0.82;64.12221299986457;54.10896476826291;1.8016927208151767
119685;-37.78;18.28;7.96;42.718244345946616;56.26519547189262;1.93139465874659
119705;-44.09;28.01;-7.02;52.704540601356165;54.587139153587714;1.830455943758523
119725;-46.88;30.83;-14.24;57.88783032728036;53.11573896523292;1.7419480417139948
119745;-45.11;26.99;-17.81;55.50286749349082;54.95223171357463;1.8524170504596436
119765;-43.62;28.32;-22.75;56.76521205809065;53.82762796391505;1.7847697038699482
119785;-35.77;28.91;-24.05;51.90070808765522;51.007342983361994;1.6151234657003393
119805;-32.05;26.36;-22.24;47.081521853058234;47.47699167426963;1.4027652029239202
119825;-26.52;25.65;-23.58;43.78640542451504;42.69902401507827;1.1153601197259402
119845;-18.4;24.05;-22.71;37.85111094802899;38.545588107631815;0.8655219714411194
119865;-17.73;19.38;-19.77;32.87537376213387;34.686441643720315;0.6333859693482565
119885;-17.69;16.71;-19.42;31.133528550422938;30.513010469100152;0.38234506251931516
119905;-11.61;16.08;-19.46;27.78578953350075;26.979890210335334;0.16982024143447993
119925;-7.96;13.02;-17.1;22.9192495514142;24.202057088355588;0.002727574325926771
119945;-8.0;10.28;-15.42;20.185509654204917;21.238753897115405;-0.17552151837792904
119965;-6.47;9.26;-15.26;18.986208152235136;18.513478756350313;-0.3394527093022185
119985;-5.06;7.22;-13.73;16.31701259422202;16.684874025720276;-0.44944723673104003
120005;-4.59;5.53;-12.2;14.159413829675294;15.211740113400584;-0.5380594260198355
120025;-3.92;4.86;-12.28;13.77622589826401;13.814267638518317;-0.6221204162899958
120045;-3.45;3.73;-11.77;12.819840092606459;12.892352681033142;-0.6775755938795262
120065;-3.45;3.73;-10.87;11.998845777823798;12.307075354422043;-0.7127812902648849
120085;-3.84;2.04;-10.87;11.707437806796156;11.809940003807679;-0.7426850562581775
120105;-4.12;1.37;-10.36;11.233027196619796;11.43033917053707;-0.7655188669597397
120125;-4.67;0.9;-10.24;11.290549145192186;11.156751568838304;-0.7819757526142311
120145;-4.39;0.12;-10.0;10.921835926253424;10.957399390689014;-0.7939672170680512
120165;-3.77;-0.63;-9.92;10.630907769329955;10.827255148741468;-0.8017956745530487
120185;-4.08;-0.51;-9.89;10.710676916049705;10.6355808981811;-0.8133252950650754
120205;-4.9;-0.86;-9.34;10.582305986882066;10.40190589777148;-0.8273813514732474
120225;-5.73;-1.69;-8.43;10.332177892390355;10.18134655200446;-0.8406484729026525
120245;-4.82;-2.0;-8.24;9.753460924205315;10.057064483582291;-0.8481243079778812
120265;-4.04;-2.43;-8.28;9.528111040494858;9.984123777906413;-0.8525118490996733
