Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
94348;-0.82;-6.51;-0.78;6.607639518012466;6.55960356637772;-1.2068737772236982
94368;-0.47;-6.55;0.16;6.568789842885826;6.6678312885523905;-1.1992541442043227
94388;-0.08;-6.59;0.2;6.593519545735798;6.885161305971394;-1.1839533049779862
94408;0.08;-7.14;0.51;7.158638138640617;7.187182600884301;-1.162689885726135
94428;0.35;-7.37;1.33;7.497219484582268;7.624376373503907;-1.1319098227369015
94448;0.67;-7.92;1.65;8.117745992577003;8.122564315843785;-1.0968355439935944
94468;0.04;-8.59;1.69;8.754758705983848;8.593775468003233;-1.063660531326347
94488;-0.63;-8.83;2.04;9.084459257435194;9.121446762682956;-1.0265105152350065
94508;-0.43;-9.22;2.31;9.514693899437859;9.548526735909732;-0.9964425012315269
94528;-0.43;-9.85;2.35;10.135575957980878;9.801017032806403;-0.9786662479329425
94548;-0.39;-9.85;2.82;10.253145858710877;10.09836830830358;-0.9577316153674063
94568;-0.2;-9.61;2.82;10.017210190467203;10.462544876165214;-0.9320922343880779
94588;-0.16;-9.89;3.73;10.571215634921087;10.832361890535656;-0.9060557450561115
94608;-0.24;-10.51;4.24;11.335576738746026;11.369532556493454;-0.8682369379969919
94628;-0.86;-10.83;5.06;11.984661029833092;12.169758829737857;-0.8118980406048432
94648;-1.22;-11.02;6.67;12.938999188499858;13.172466135468284;-0.7413037275952642
94668;-1.49;-11.73;7.53;14.018341556689224;14.302028576382583;-0.6617783426079865
94688;-2.75;-12.32;9.14;15.584752163573215;15.58997031669961;-0.571102467570046
94708;-3.37;-11.85;11.69;16.983388943317525;16.89857805521648;-0.47897162961597095
94728;-4.51;-11.38;13.77;18.424369731418224;18.492520913593392;-0.366752141016878
94748;-5.45;-10.12;15.73;19.482037881084207;20.292796934887146;-0.24000603253183797
94768;-8.36;-9.89;17.77;21.98805584857379;22.18999674208851;-0.10643613006291858
94788;-12.43;-9.69;18.87;24.586132270041986;24.108034538818494;0.028600844149536283
94808;-15.42;-8.2;19.89;26.469387979324342;26.608026887559436;0.20460957708682073
94828;-17.77;-5.49;20.95;28.014558715068134;29.540438910168156;0.41106225875576907
94848;-24.09;-3.69;20.71;31.98199962478894;32.46675782799257;0.6170859632507355
94868;-29.85;-0.47;21.26;36.65011596161737;35.47976027219088;0.8292125094809129
94888;-32.24;5.14;21.73;39.21772685916409;39.694787009326745;1.1259660238161426
94908;-35.38;10.12;19.26;41.534400200315886;44.57988361630124;1.469894942039766
94928;-44.17;15.57;14.71;49.08969240074744;48.87219220378856;1.7720893852507416
94948;-50.84;22.99;8.28;56.40748265966139;49.84833163357989;1.840813221263369
94968;-50.68;18.48;-21.61;58.111658899053985;49.12994419745328;1.7902360815155658
94988;-41.54;11.85;-8.87;44.098424008120745;47.732504752396665;1.6918511619757646
95008;-36.36;10.28;-3.45;37.94246301968284;46.65778753619371;1.6161870842096733
95028;-36.36;16.12;-13.81;42.10249517546436;45.100433650049645;1.5065435949513082
95048;-46.41;16.12;-13.81;51.033896578646626;45.77372962371415;1.5539461285135199
95068;-42.17;19.34;-19.5;50.32488946833366;47.061066896470805;1.644579446793454
95088;-38.29;18.83;-20.79;47.46490387644328;46.560311796632405;1.6093244306415733
95108;-33.77;18.24;-22.28;44.37914938346611;43.976267160793235;1.4273981049724187
95128;-28.36;16.87;-21.89;39.59871967627237;41.333600228006546;1.2413445521888284
95148;-28.48;15.49;-20.04;38.113673399450754;38.50868213988573;1.0424598421647484
95168;-26.91;14.75;-20.87;37.11155480440021;35.681607837688794;0.8434233266730757
95188;-20.2;15.38;-21.61;33.3403134358392;33.456228133847695;0.6867483423777502
95208;-18.04;14.67;-19.34;30.243777872481473;31.04565845518304;0.517035297050839
95228;-17.61;11.65;-19.1;28.47182115706686;28.47781636329372;0.33624969056524917
95248;-14.59;10.28;-18.99;26.06082500612749;26.2427652935255;0.1788938062409846
95268;-10.83;10.83;-18.83;24.272344344953577;24.125940033772842;0.029861457399459626
95288;-8.55;10.12;-17.77;22.165058086998105;22.407725698930275;-0.09110720402169464
95308;-8.47;7.81;-15.93;19.659651573718186;20.78282093359511;-0.20550652569739214
95328;-5.96;8.51;-16.95;19.88074948285401;19.029099716381303;-0.32897500331992907
95348;-3.18;7.37;-16.04;17.936301179451686;17.59217087487423;-0.43014012282202374
95368;-2.47;4.75;-14.55;15.503738258884534;16.716990468121104;-0.4917560691915129
95388;-2.12;4.0;-14.28;14.980413879462743;15.523145371531786;-0.5758071915399077
95408;-0.75;4.08;-14.71;15.283749539952558;14.511079108918025;-0.6470604098231287
95428;0.0;2.24;-13.73;13.911523999907415;13.998647512030862;-0.6831374946712332
95448;-0.31;0.24;-12.87;12.87596986638288;13.523860434782168;-0.7165642657266028
95468;-0.9;0.08;-12.91;12.941580274448713;12.928197278614922;-0.7585011610243911
95488;-1.06;-1.14;-12.51;12.60647849321927;12.542795480425543;-0.7856348769356525
95508;-1.06;-2.51;-12.0;12.305433759116337;12.365652382339068;-0.7981064080019327
95528;-0.82;-2.51;-11.69;11.98451500896052;12.140485074354606;-0.8139590215498116
