Tiempo(ms);X(m/s²);Y(m/s²);Z(m/s²);magnitud;suavizado;normalizado
28762;-9.1;-4.28;-3.37;10.605908730514326;10.285366452206148;-0.9973555710685063
28782;-7.53;-4.39;-3.37;9.34504681636213;9.094276613158716;-1.0911851665326648
28802;-5.49;-4.63;-1.45;7.3266295115830715;7.9700332876341005;-1.179748844081638
28822;-4.12;-4.63;-0.24;6.2023302072688775;7.216298798283759;-1.2391252235155241
28842;-4.24;-4.75;-0.2;6.370251172442104;6.745885874303239;-1.2761825914076923
28862;-4.31;-5.26;0.71;6.837236283762613;6.741280342214959;-1.276545397972381
28882;-4.0;-5.57;1.37;6.992982196459534;6.967580812514162;-1.2587182946881281
28902;-3.61;-6.12;1.69;7.303601851141668;7.319028655539215;-1.2310325502071202
28922;-2.43;-6.71;1.69;7.333832558764891;7.702140166723376;-1.2008524605668451
28942;-1.88;-7.69;1.84;8.12749038756737;8.104972049624724;-1.1691188739190679
28962;-1.53;-8.28;2.39;8.752793839683418;8.572377193983032;-1.1322984476378055
28982;-1.02;-8.59;2.51;9.007141610966267;9.127639366497414;-1.0885569738080554
29002;-0.86;-9.3;2.39;9.640627572933207;9.628047213525289;-1.0491367182450775
29022;-0.67;-9.65;2.94;10.110143421336812;10.183517933691478;-1.0053788158125785
29042;-1.02;-9.96;3.57;10.629529622706738;10.829010942477217;-0.9545292947237697
29062;-1.49;-10.59;4.31;11.530147440514366;11.55731536297262;-0.8971562008482531
29082;-1.96;-11.02;4.94;12.234606654894957;12.560385685349504;-0.8181380785494379
29102;-2.43;-11.41;6.35;13.282149675410226;13.791102468232987;-0.7211868209001738
29122;-3.26;-11.81;8.87;15.125495033221226;14.981238880083946;-0.6274323328588283
29142;-3.88;-12.36;10.67;16.78311353712415;16.202447317801802;-0.5312301070215877
29162;-4.12;-12.55;11.45;17.480829499769168;17.621427546126625;-0.4194481604122223
29182;-3.88;-11.85;13.45;18.340648843484242;18.916023436115708;-0.3174647460088351
29202;-6.16;-11.45;15.69;20.377050817034345;20.749709390032706;-0.17301383590625125
29222;-6.16;-11.49;17.22;21.59847448316663;22.497626632058985;-0.03531946362001225
29242;-9.96;-11.49;21.03;25.95154330670914;24.844511742811726;0.14955935351345973
29262;-12.83;-8.98;21.03;26.22041570990056;26.91522816449892;0.312682635904388
29282;-16.0;-4.9;24.99;30.075074397247963;29.246181657308533;0.4963064198592639
29302;-19.1;-2.63;23.93;30.730632925470314;32.697437206224016;0.7681834029230719
29322;-23.69;1.88;23.26;33.25324194721471;37.2824948201798;1.129377065225987
29342;-35.11;7.34;24.09;43.20782105128654;40.407095687576465;1.3755214161922058
29362;-42.99;12.55;20.24;49.145703779679465;43.933813771968204;1.653343055103384
29382;-39.62;19.1;12.4;45.69807873423127;43.54573610068884;1.6227717499750183
29402;-42.68;21.69;6.86;48.36422334742904;40.744098602300454;1.4020692433351885
29422;-26.48;13.3;-10.12;31.31285359081794;38.28372382175012;1.2082501351696098
29442;-26.36;10.79;-6.43;29.19963355934454;37.45475329654581;1.142946942680085
29462;-33.11;15.46;-4.71;36.843829876927835;36.97589688026112;1.105224428095171
29482;-36.56;16.67;-10.59;41.5532261082097;39.9486414247185;1.339406106823784
29502;-40.25;17.61;-13.53;45.969941266005556;42.456001936852374;1.5369265749057537
29522;-37.93;20.67;-16.32;46.176576313104896;43.17182154144554;1.5933161617550593
29542;-30.87;22.16;-17.26;41.73643612001389;43.21560245210018;1.5967650578845591
29562;-30.75;20.91;-15.85;40.422927899893644;41.5498001689718;1.4655393944415658
29582;-31.66;20.52;-17.93;41.7721306614829;39.209981987780125;1.2812172835448112
29602;-27.34;19.38;-17.14;37.64092985036368;37.94708323421006;1.1817308508048285
29622;-25.81;17.85;-14.28;34.4774854071465;36.397063286314314;1.05962608598814
29642;-26.44;18.2;-14.98;35.42194235216358;33.746428524676375;0.8508190092636609
29662;-21.97;17.18;-17.02;32.67282816041489;31.71253850586072;0.6905967729320293
29682;-18.08;15.46;-15.73;28.51895685329321;30.379611693650496;0.5855937920712082
29702;-17.61;15.26;-14.55;27.471479756285426;28.5820301990776;0.44398705602137134
29722;-17.61;14.95;-15.49;27.81285134609539;26.805459522855756;0.30403547353058646
29742;-15.34;14.95;-15.49;26.434034879299073;25.375301734992902;0.19137300065414398
29762;-12.08;13.42;-15.49;23.789974779305673;24.074815030709267;0.08892552996877691
29782;-9.57;12.51;-14.44;21.36816791397896;22.401705392477474;-0.04287577953447904
29802;-7.18;12.51;-15.22;20.969046234867243;20.38953366348104;-0.20138713035512323
29822;-4.2;11.3;-15.26;19.447303154936417;18.591683298682984;-0.34301504699405766
29842;-2.71;8.98;-13.42;16.373176234316908;17.144551440634586;-0.4570146735315233
29862;-2.67;6.67;-12.94;14.800722955315392;15.437341477824148;-0.5915022788585852
29882;-1.26;5.61;-12.91;14.132508623736976;13.857737119421808;-0.7159375927059828
29902;-0.35;2.75;-12.12;12.432996420815057;12.885564901577567;-0.7925216780800722
29922;-0.43;0.51;-11.53;11.549281362924708;12.175723401211384;-0.8484403322735264
29942;-0.47;-1.1;-11.45;11.512315145095707;11.606970998244421;-0.8932445159212832
